Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-05,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-06,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-07,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-08,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-11,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-12,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-13,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-14,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-15,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-18,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-19,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-20,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-21,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-22,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-26,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-27,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-28,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-01-29,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-01,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-02,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-03,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-04,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-05,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-08,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-09,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-10,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-11,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-12,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-17,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-18,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-19,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-22,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-23,14.625000,14.625000,14.625000,14.625000,11.043241,0
2010-02-24,null,null,null,null,null,null
2010-02-25,null,null,null,null,null,null
2010-02-26,null,null,null,null,null,null
2010-03-01,null,null,null,null,null,null
2010-03-02,null,null,null,null,null,null
2010-03-03,13.957500,13.957500,13.957500,13.957500,10.539213,4400
2010-03-04,null,null,null,null,null,null
2010-03-05,null,null,null,null,null,null
2010-03-08,null,null,null,null,null,null
2010-03-09,null,null,null,null,null,null
2010-03-10,null,null,null,null,null,null
2010-03-11,null,null,null,null,null,null
2010-03-12,null,null,null,null,null,null
2010-03-15,null,null,null,null,null,null
2010-03-16,null,null,null,null,null,null
2010-03-17,null,null,null,null,null,null
2010-03-18,null,null,null,null,null,null
2010-03-19,null,null,null,null,null,null
2010-03-22,null,null,null,null,null,null
2010-03-23,null,null,null,null,null,null
2010-03-24,13.660000,13.660000,12.520000,12.520000,10.334909,2400
2010-03-25,null,null,null,null,null,null
2010-03-26,null,null,null,null,null,null
2010-03-29,null,null,null,null,null,null
2010-03-30,null,null,null,null,null,null
2010-03-31,null,null,null,null,null,null
2010-04-01,null,null,null,null,null,null
2010-04-05,null,null,null,null,null,null
2010-04-06,null,null,null,null,null,null
2010-04-07,null,null,null,null,null,null
2010-04-08,null,null,null,null,null,null
2010-04-09,null,null,null,null,null,null
2010-04-12,null,null,null,null,null,null
2010-04-13,null,null,null,null,null,null
2010-04-14,null,null,null,null,null,null
2010-04-15,null,null,null,null,null,null
2010-04-16,null,null,null,null,null,null
2010-04-19,null,null,null,null,null,null
2010-04-20,null,null,null,null,null,null
2010-04-22,null,null,null,null,null,null
2010-04-23,null,null,null,null,null,null
2010-04-26,null,null,null,null,null,null
2010-04-27,null,null,null,null,null,null
2010-04-28,null,null,null,null,null,null
2010-04-29,null,null,null,null,null,null
2010-04-30,null,null,null,null,null,null
2010-05-03,null,null,null,null,null,null
2010-05-04,null,null,null,null,null,null
2010-05-05,null,null,null,null,null,null
2010-05-06,null,null,null,null,null,null
2010-05-07,null,null,null,null,null,null
2010-05-10,null,null,null,null,null,null
2010-05-11,null,null,null,null,null,null
2010-05-12,null,null,null,null,null,null
2010-05-13,null,null,null,null,null,null
2010-05-14,null,null,null,null,null,null
2010-05-17,null,null,null,null,null,null
2010-05-18,null,null,null,null,null,null
2010-05-19,null,null,null,null,null,null
2010-05-20,null,null,null,null,null,null
2010-05-21,null,null,null,null,null,null
2010-05-24,null,null,null,null,null,null
2010-05-25,null,null,null,null,null,null
2010-05-26,null,null,null,null,null,null
2010-05-27,null,null,null,null,null,null
2010-05-28,null,null,null,null,null,null
2010-05-31,null,null,null,null,null,null
2010-06-01,null,null,null,null,null,null
2010-06-02,null,null,null,null,null,null
2010-06-04,null,null,null,null,null,null
2010-06-07,null,null,null,null,null,null
2010-06-08,null,null,null,null,null,null
2010-06-09,null,null,null,null,null,null
2010-06-10,null,null,null,null,null,null
2010-06-11,null,null,null,null,null,null
2010-06-14,null,null,null,null,null,null
2010-06-15,null,null,null,null,null,null
2010-06-16,null,null,null,null,null,null
2010-06-17,null,null,null,null,null,null
2010-06-18,null,null,null,null,null,null
2010-06-21,null,null,null,null,null,null
2010-06-22,null,null,null,null,null,null
2010-06-23,null,null,null,null,null,null
2010-06-24,null,null,null,null,null,null
2010-06-25,null,null,null,null,null,null
2010-06-28,null,null,null,null,null,null
2010-06-29,null,null,null,null,null,null
2010-06-30,null,null,null,null,null,null
2010-07-01,null,null,null,null,null,null
2010-07-02,null,null,null,null,null,null
2010-07-05,null,null,null,null,null,null
2010-07-06,null,null,null,null,null,null
2010-07-07,null,null,null,null,null,null
2010-07-08,null,null,null,null,null,null
2010-07-12,null,null,null,null,null,null
2010-07-13,null,null,null,null,null,null
2010-07-14,null,null,null,null,null,null
2010-07-15,null,null,null,null,null,null
2010-07-16,null,null,null,null,null,null
2010-07-19,null,null,null,null,null,null
2010-07-20,null,null,null,null,null,null
2010-07-21,null,null,null,null,null,null
2010-07-22,null,null,null,null,null,null
2010-07-23,null,null,null,null,null,null
2010-07-26,null,null,null,null,null,null
2010-07-27,null,null,null,null,null,null
2010-07-28,null,null,null,null,null,null
2010-07-29,null,null,null,null,null,null
2010-07-30,null,null,null,null,null,null
2010-08-02,null,null,null,null,null,null
2010-08-03,null,null,null,null,null,null
2010-08-04,null,null,null,null,null,null
2010-08-05,null,null,null,null,null,null
2010-08-06,null,null,null,null,null,null
2010-08-09,null,null,null,null,null,null
2010-08-10,null,null,null,null,null,null
2010-08-11,null,null,null,null,null,null
2010-08-12,null,null,null,null,null,null
2010-08-13,null,null,null,null,null,null
2010-08-16,null,null,null,null,null,null
2010-08-17,null,null,null,null,null,null
2010-08-18,null,null,null,null,null,null
2010-08-19,null,null,null,null,null,null
2010-08-20,null,null,null,null,null,null
2010-08-23,null,null,null,null,null,null
2010-08-24,null,null,null,null,null,null
2010-08-25,null,null,null,null,null,null
2010-08-26,null,null,null,null,null,null
2010-08-27,null,null,null,null,null,null
2010-08-30,null,null,null,null,null,null
2010-08-31,null,null,null,null,null,null
2010-09-01,null,null,null,null,null,null
2010-09-02,null,null,null,null,null,null
2010-09-03,null,null,null,null,null,null
2010-09-06,null,null,null,null,null,null
2010-09-08,null,null,null,null,null,null
2010-09-09,null,null,null,null,null,null
2010-09-10,null,null,null,null,null,null
2010-09-13,null,null,null,null,null,null
2010-09-14,null,null,null,null,null,null
2010-09-15,null,null,null,null,null,null
2010-09-16,null,null,null,null,null,null
2010-09-17,null,null,null,null,null,null
2010-09-20,null,null,null,null,null,null
2010-09-21,null,null,null,null,null,null
2010-09-22,null,null,null,null,null,null
2010-09-23,null,null,null,null,null,null
2010-09-24,null,null,null,null,null,null
2010-09-27,null,null,null,null,null,null
2010-09-28,null,null,null,null,null,null
2010-09-29,null,null,null,null,null,null
2010-09-30,null,null,null,null,null,null
2010-10-01,null,null,null,null,null,null
2010-10-04,null,null,null,null,null,null
2010-10-05,null,null,null,null,null,null
2010-10-06,null,null,null,null,null,null
2010-10-07,null,null,null,null,null,null
2010-10-08,null,null,null,null,null,null
2010-10-11,null,null,null,null,null,null
2010-10-13,null,null,null,null,null,null
2010-10-14,null,null,null,null,null,null
2010-10-15,null,null,null,null,null,null
2010-10-18,null,null,null,null,null,null
2010-10-19,null,null,null,null,null,null
2010-10-20,null,null,null,null,null,null
2010-10-21,null,null,null,null,null,null
2010-10-22,null,null,null,null,null,null
2010-10-25,null,null,null,null,null,null
2010-10-26,null,null,null,null,null,null
2010-10-27,null,null,null,null,null,null
2010-10-28,null,null,null,null,null,null
2010-10-29,null,null,null,null,null,null
2010-11-01,null,null,null,null,null,null
2010-11-03,null,null,null,null,null,null
